id,gpsnanotime,hdSpectrumEye,hdCalibEye,hdXmaxEye,theta,dtheta,phi,dphi,l,b,ra,dec,totalEnergy,dtotalEnergy,calEnergy,dcalEnergy,xmax,dxmax,heightXmax,distXmax,dEdXmax,ddEdXmax,x,dx,y,dy,z,easting,northing,altitude,cherenkovFraction,minViewAngle,uspL,duspL,uspR,duspR,hottestStationId,distSdpStation,distAxisStation,particle_type
4,28631800,0,0,1,23.74,0.45,278.94,0.98,323.75,-2.69,235.61,-58.48,0.923,0.066,0.779,0.054,610.01,13.21,5091.49,9113.07,1.37,0.03,-34245.27,24.94,8365.39,44.48,57.02,443011.57,6107478.11,1553.63,0.11,39.38,225.42,9.36,0.25,0.05,585,125.34,125.77,iron
4,436656134,1,0,1,51.59,1.11,284.51,1.08,315.36,-32.57,312.64,-77.94,1.09,0.087,0.92,0.072,746.52,36.77,6467.02,15827.49,1.59,0.07,-20979.45,96.88,12604.93,174.28,61.26,456258.83,6111747.21,1508.9,0.08,31.21,229.7,9.47,0.25,0.05,906,635.1,751.05,iron
4,650727337,1,0,1,30.27,0.39,220.75,0.66,282.38,7.53,160.05,-50.03,1.398,0.099,1.191,0.083,806.7,10.39,3292.21,6864.39,2.09,0.03,-28109.66,21.91,9735.07,24.34,67.79,449141.53,6108863.34,1533.72,0.07,52.38,226.34,8.92,0.26,0.05,612,468.06,713.95,proton
1,312479139,0,0,1,50.27,1.11,105.21,0.98,14.74,57.53,224.51,13.63,2.213,0.176,1.898,0.149,942.66,41.16,4374.03,21113.74,3.2,0.14,-11063.16,106.11,-10766.18,100.63,-16.17,466227.21,6088416.9,1403.12,0.14,35.26,235.32,9.34,0.25,0.05,158,255.35,316.13,proton
1,665343821,0,0,1,45.83,0.84,30.93,1.3,16.9,16.76,260.57,-5.96,0.697,0.061,0.581,0.05,664.85,21.56,6468.19,17115.33,1.03,0.07,-8083.85,152.07,-22495.71,123.33,-60.18,469236.65,6076702.58,1387.17,0.18,19.24,224.15,11.06,0.26,0.06,313,135.47,530.6,iron
2,60258228,0,0,1,50.08,0.68,157.13,0.89,301.68,55.5,192.14,-7.36,0.975,0.069,0.82,0.056,718.71,24.19,6495.85,14391.06,1.39,0.05,14237.97,83.61,-10419.38,92.06,-48.82,491513.79,6088825.88,1374.09,0.11,23.58,235.02,7.75,0.25,0.04,581,396.13,411.06,iron
4,890631076,1,0,1,52.52,0.38,213.31,0.81,285.83,14.72,169.16,-44.98,1.233,0.088,1.043,0.073,744.47,18.89,6615.92,11934.19,1.88,0.05,-24354.72,65.23,8003.66,66.36,54.43,452899.53,6107142.87,1503.51,0.07,48.81,220.62,9.31,0.25,0.05,662,444.36,503.24,iron
1,465928374,0,0,1,44.52,0.51,145.04,0.9,229.6,19.77,128.05,-4.93,0.677,0.054,0.564,0.043,633.72,24.73,6583.43,11697.28,0.97,0.04,-15754.43,58.19,-19883.84,49.34,-56.34,461559.96,6079293.57,1396.68,0.12,35.63,231.09,9.71,0.27,0.05,394,205.27,611.95,iron
2,349687962,0,0,1,36.09,0.64,50.8,1.17,344.0,49.23,218.38,-5.33,0.641,0.049,0.535,0.04,760.52,18.75,4313.97,13423.73,0.94,0.04,25053.93,48.85,5851.23,77.18,-91.02,502279.29,6105112.82,1358.09,0.12,33.38,226.61,9.8,0.25,0.05,732,513.36,600.33,proton
1,552917500,0,0,1,31.98,0.52,89.99,0.76,288.95,58.63,185.62,-3.45,0.835,0.063,0.702,0.052,686.88,17.67,4737.31,12431.92,1.23,0.05,-10060.92,44.49,-20537.46,42.55,-50.19,467253.69,6078653.11,1390.5,0.11,40.62,225.47,10.49,0.27,0.05,306,209.27,209.74,iron
