id,gpsnanotime,hdSpectrumEye,hdCalibEye,hdXmaxEye,theta,dtheta,phi,dphi,l,b,ra,dec,totalEnergy,dtotalEnergy,calEnergy,dcalEnergy,xmax,dxmax,heightXmax,distXmax,dEdXmax,ddEdXmax,x,dx,y,dy,z,easting,northing,altitude,cherenkovFraction,minViewAngle,uspL,duspL,uspR,duspR,hottestStationId,distSdpStation,distAxisStation,particle_type
1,257161602,0,0,1,48.21,0.38,157.74,0.66,190.73,-52.39,47.76,-8.98,2.228,0.162,1.912,0.137,713.62,17.74,6347.15,12618.23,3.3,0.08,-8820.04,57.31,-18564.65,59.35,-46.05,468486.45,6080629.07,1389.45,0.08,63.34,229.8,9.6,0.26,0.05,310,54.05,711.71,iron
4,278779315,0,0,1,46.34,0.45,255.79,0.68,300.22,-40.8,21.48,-76.14,0.758,0.052,0.634,0.041,761.4,15.77,5583.04,10771.29,1.14,0.04,-25280.63,43.59,10785.99,45.19,73.5,451964.81,6109919.85,1532.25,0.1,31.97,220.66,8.71,0.25,0.05,658,130.63,163.89,iron
1,901642884,0,0,1,27.71,0.74,349.57,1.31,244.14,-18.37,98.89,-35.55,14.812,1.246,12.921,1.087,735.54,13.74,3901.78,21268.28,21.93,0.47,-1366.82,57.52,-16120.46,62.68,-36.77,475931.85,6083089.56,1384.84,0.08,47.52,233.85,8.93,0.25,0.04,246,31.26,608.84,iron
1,814732146,0,0,1,45.88,0.4,118.58,0.53,177.78,-39.08,52.55,6.33,1.813,0.121,1.55,0.101,721.54,13.22,5933.16,14009.37,2.65,0.07,-10600.85,48.27,-19251.04,47.5,-46.02,466710.89,6079937.55,1391.82,0.11,33.29,231.96,6.35,0.23,0.04,308,285.74,312.06,iron
4,166608618,0,0,1,23.81,0.42,34.96,0.99,233.0,-4.11,108.48,-19.71,0.949,0.069,0.801,0.057,623.71,16.7,4983.36,8525.27,1.37,0.03,-25362.64,38.2,12908.86,22.6,84.89,451877.57,6112040.81,1548.61,0.11,44.82,232.43,10.05,0.26,0.05,643,599.18,599.26,iron
1,551560224,1,0,1,54.86,0.34,346.41,0.71,263.94,20.38,150.3,-29.32,4.28,0.317,3.688,0.269,699.24,15.29,7623.33,18399.93,6.4,0.17,-20964.26,141.24,-8913.23,51.27,-11.43,456322.77,6090244.23,1425.68,0.05,53.68,228.45,7.9,0.26,0.05,126,628.78,750.28,iron
1,623019620,1,0,1,35.55,0.47,58.21,0.88,274.84,55.53,177.37,-3.92,1.654,0.115,1.414,0.096,726.45,12.92,4695.46,14481.5,2.34,0.07,-15140.26,42.06,-15859.24,80.38,-48.83,462166.39,6083317.2,1391.03,0.14,30.09,239.75,8.27,0.25,0.05,451,136.63,513.54,iron
4,28345169,0,0,1,35.41,0.62,254.17,1.07,295.96,-5.88,174.28,-67.73,0.986,0.072,0.832,0.059,672.76,16.56,5283.29,14339.59,1.45,0.05,-29948.18,50.81,3765.16,82.93,57.78,447317.13,6102889.51,1531.55,0.14,34.31,228.03,9.28,0.26,0.05,624,293.72,708.02,iron
1,312421327,1,0,1,40.73,0.44,108.12,1.11,225.65,31.0,135.93,3.84,2.036,0.153,1.747,0.129,781.95,13.81,4667.88,16397.07,3.22,0.13,-20206.54,53.3,-14167.77,82.39,-32.26,457098.6,6084992.24,1413.84,0.18,29.24,214.88,10.08,0.29,0.06,417,330.1,424.77,proton
1,99644348,1,1,1,44.54,0.44,282.36,0.45,308.92,-14.63,218.1,-76.32,2.956,0.21,2.547,0.178,894.36,14.25,4080.51,12386.43,4.52,0.11,-6604.04,30.52,-24731.46,44.67,-67.83,470718.64,6074472.56,1381.67,0.09,50.33,223.37,7.77,0.26,0.04,303,312.67,405.47,proton
4,352422063,1,0,1,34.2,0.39,60.32,0.47,323.42,56.66,203.98,-4.43,2.217,0.156,1.906,0.132,695.77,11.93,4903.71,12101.97,3.19,0.08,-22118.04,30.62,8890.35,34.63,49.58,455129.73,6108032.44,1493.3,0.07,54.28,236.85,8.91,0.25,0.05,665,432.73,534.32,iron
4,634122427,1,0,1,40.24,0.42,296.81,0.55,304.65,-2.8,197.02,-65.61,1.157,0.079,0.979,0.065,636.88,13.83,6210.61,11597.46,1.75,0.04,-24246.36,43.63,13538.29,35.67,78.27,452990.52,6112674.44,1536.26,0.15,30.69,222.24,7.96,0.25,0.04,635,69.87,601.19,iron
1,26710370,0,0,1,47.94,0.63,155.55,0.69,232.24,18.21,128.03,-7.88,2.454,0.194,2.108,0.164,753.95,23.37,5882.0,17864.23,3.83,0.15,-11144.55,110.76,-12237.18,61.68,-21.82,466148.16,6086946.62,1401.27,0.08,57.52,218.27,10.95,0.25,0.06,170,239.68,558.86,iron
1,817245115,1,0,1,58.59,0.75,337.58,1.53,10.13,-60.0,338.83,-34.57,1.398,0.104,1.184,0.087,781.22,41.01,7471.49,17068.36,2.05,0.1,-11724.84,148.91,-20176.64,140.62,-52.49,465590.5,6079009.49,1390.7,0.12,22.16,229.39,9.38,0.24,0.05,332,68.67,133.87,proton
1,759255738,1,0,1,36.12,0.56,323.38,0.51,348.44,-23.68,288.52,-48.97,3.243,0.229,2.799,0.193,696.94,13.59,5052.15,16470.33,4.82,0.13,-9598.79,56.19,-13713.37,42.72,-25.4,467698.32,6085474.5,1396.61,0.07,58.92,230.35,8.32,0.28,0.05,149,174.94,175.04,iron
1,325560807,0,0,1,52.23,0.88,150.37,1.56,266.78,55.15,173.15,-2.08,0.725,0.065,0.605,0.053,716.62,37.71,6788.03,14271.21,1.08,0.06,-10902.72,172.36,-17569.58,135.15,-41.15,466405.84,6081616.79,1391.6,0.08,51.83,222.48,11.17,0.25,0.05,199,401.57,494.06,iron
4,22172545,1,1,1,35.49,0.14,184.42,0.82,260.6,16.16,144.32,-30.33,2.762,0.197,2.381,0.166,752.62,9.69,4317.35,11420.27,4.11,0.08,-18771.99,18.94,15239.55,34.25,47.36,458459.65,6114386.74,1490.98,0.07,95.83,229.89,9.5,0.25,0.05,904,460.4,571.82,iron
1,908726922,1,1,1,42.8,0.32,293.22,0.46,324.28,-38.03,319.55,-69.05,4.402,0.306,3.803,0.26,776.64,12.1,4894.07,15418.8,6.2,0.14,-8902.21,45.58,-13598.18,36.66,-25.4,468394.65,6085590.29,1396.64,0.07,73.83,243.66,7.73,0.25,0.05,149,235.05,572.18,proton
4,162163521,0,0,1,37.76,0.42,93.61,0.88,6.0,45.56,231.53,2.48,1.491,0.115,1.271,0.097,732.9,15.56,4677.87,14302.0,2.25,0.08,-21462.79,48.69,3047.14,45.53,28.43,455799.31,6102196.77,1467.59,0.06,87.6,223.46,10.15,0.27,0.05,598,437.05,676.45,iron
4,911459548,0,0,1,37.69,0.47,283.92,0.9,323.08,-37.27,318.75,-70.23,0.826,0.057,0.694,0.046,660.03,11.89,5514.36,14368.26,1.22,0.03,-25765.71,57.41,6013.31,61.94,42.93,451491.24,6105150.57,1494.96,0.12,27.15,226.06,6.95,0.26,0.04,629,342.8,652.57,iron
2,293711926,0,0,1,34.04,0.52,132.0,0.86,338.22,48.53,215.58,-8.01,0.972,0.068,0.82,0.055,760.07,11.44,4106.4,10053.97,1.47,0.04,13229.37,61.21,-5266.42,28.98,-43.8,490490.7,6093974.33,1373.13,0.1,36.48,221.25,8.61,0.26,0.05,728,375.86,795.11,proton
1,299294607,0,0,1,48.14,0.65,55.89,0.87,42.61,-4.07,290.95,6.71,2.48,0.18,2.131,0.152,718.95,19.44,6093.5,22646.37,3.59,0.13,-15009.26,100.8,-10322.61,110.05,-19.07,462281.75,6088848.32,1405.62,0.16,24.48,235.36,7.64,0.29,0.04,164,218.65,334.42,iron
1,676189292,1,0,1,41.18,0.79,61.64,0.8,172.65,-48.8,43.05,2.06,1.273,0.097,1.08,0.08,678.3,20.07,5699.4,12942.81,1.89,0.06,-24663.13,79.05,-19361.69,71.49,-60.93,452656.53,6079789.98,1414.23,0.07,36.24,227.1,9.61,0.27,0.05,398,314.07,322.42,iron
1,358409311,0,0,1,38.74,0.55,38.98,0.52,98.85,-68.83,4.31,-7.58,0.717,0.052,0.6,0.042,687.19,11.5,5454.07,11704.83,1.07,0.04,-11630.06,68.65,-23103.59,48.01,-64.42,465691.68,6076084.54,1387.66,0.21,22.33,222.29,8.74,0.26,0.05,343,177.66,178.59,iron
4,961107816,0,0,1,38.11,0.58,317.06,0.89,333.58,-57.37,345.8,-52.84,0.786,0.058,0.659,0.047,704.76,15.44,5208.33,13384.44,1.12,0.04,-23785.79,84.75,9113.71,67.24,62.97,453464.47,6108250.35,1516.77,0.14,26.7,233.02,10.14,0.25,0.06,666,52.08,602.88,iron
4,899372855,1,0,1,44.06,0.48,329.68,0.59,252.15,-24.21,94.64,-44.44,1.39,0.097,1.182,0.08,821.46,15.87,4700.99,10757.98,2.02,0.06,-24894.56,42.22,20292.17,41.17,72.53,452324.24,6119422.13,1550.4,0.1,36.94,232.07,8.81,0.25,0.05,684,424.01,452.41,proton
1,135354077,1,0,1,27.62,0.63,318.02,0.74,322.6,-65.11,0.12,-50.03,1.379,0.103,1.175,0.087,717.35,17.72,4111.82,11361.33,2.08,0.07,-9747.75,37.33,-20637.79,38.25,-50.19,467566.84,6078553.96,1390.52,0.08,55.56,224.23,10.36,0.26,0.05,306,449.21,473.46,iron
4,472083258,0,0,1,40.72,0.38,265.92,0.61,313.54,-38.52,337.6,-75.56,0.661,0.044,0.551,0.034,708.94,10.84,5236.51,10362.64,1.0,0.03,-25708.13,39.89,10507.44,35.44,68.6,451538.18,6109640.56,1528.34,0.11,32.38,218.5,7.51,0.24,0.04,661,661.91,695.55,iron
4,214912742,0,0,1,47.23,0.48,39.6,0.76,110.74,-62.88,7.33,-0.53,1.045,0.077,0.881,0.063,640.48,17.39,6935.23,14383.05,1.61,0.05,-24769.93,83.91,4647.73,65.07,36.85,452488.98,6103785.1,1484.94,0.07,45.91,217.54,10.28,0.26,0.05,636,116.19,447.69,iron
4,353898704,0,0,1,32.11,0.53,277.5,1.06,282.97,-43.92,51.41,-66.76,0.908,0.066,0.765,0.054,662.77,15.12,5041.74,11806.53,1.33,0.04,-34943.94,47.73,6195.51,53.74,78.48,442319.23,6105305.34,1580.52,0.12,32.02,227.53,9.2,0.26,0.05,610,485.07,809.69,iron
1,620277022,0,0,1,36.87,0.51,11.15,0.69,212.33,-55.2,50.75,-21.66,0.921,0.065,0.775,0.053,689.14,15.4,5174.38,13739.07,1.35,0.05,-11151.86,50.5,-18947.72,53.59,-46.02,466159.3,6080239.37,1391.81,0.15,32.63,228.19,8.81,0.26,0.05,308,194.32,196.15,iron
4,978851611,1,0,0,47.87,0.51,339.51,0.87,240.51,-34.58,78.44,-36.73,1.114,0.08,0.941,0.066,783.62,19.03,5527.56,9652.31,1.6,0.05,-27149.48,63.2,17310.88,33.97,103.1,450081.98,6116435.07,1585.48,0.27,25.92,232.71,8.16,0.27,0.04,702,130.92,149.76,iron
1,63333445,0,0,1,41.45,0.9,25.5,1.04,202.93,-43.52,59.68,-11.65,0.715,0.056,0.598,0.045,640.16,22.16,6218.41,13461.61,1.08,0.04,-17641.19,108.2,-17334.45,78.4,-46.13,459670.82,6081835.71,1403.0,0.1,33.86,220.03,10.26,0.26,0.05,416,11.83,354.15,iron
1,528755286,0,0,1,39.58,0.51,93.84,1.14,158.74,-52.88,33.59,4.13,1.255,0.095,1.065,0.079,749.05,19.72,4819.1,15900.38,1.78,0.08,-21524.43,53.09,-15003.58,80.64,-41.72,455783.0,6084156.93,1414.67,0.19,30.49,236.86,9.75,0.26,0.05,372,633.63,648.67,iron
1,166183444,1,0,1,47.55,0.8,121.44,0.98,130.38,-55.63,17.09,6.99,1.19,0.091,1.007,0.075,684.81,25.08,6490.38,14814.27,1.76,0.07,-10375.78,101.66,-19007.13,96.64,-46.02,466934.57,6080182.92,1391.83,0.08,36.17,226.72,9.62,0.25,0.05,308,273.41,522.26,iron
4,140711263,1,0,1,25.68,0.41,29.04,0.88,217.58,-39.74,67.66,-20.31,1.175,0.084,0.997,0.069,705.47,12.5,4077.29,7941.85,1.76,0.04,-27124.11,27.68,9594.93,29.01,67.79,450125.77,6108724.71,1533.68,0.09,52.14,224.56,10.15,0.26,0.05,612,151.31,224.93,iron
4,560983128,1,0,1,36.91,0.55,234.24,0.78,337.81,-35.41,307.19,-59.24,1.667,0.123,1.425,0.103,733.4,15.98,4718.24,15124.47,2.49,0.09,-31330.43,47.32,2165.64,60.04,70.01,445939.11,6101287.51,1549.88,0.12,36.12,226.74,9.69,0.27,0.05,941,513.83,543.55,iron
2,810745922,1,0,0,56.67,0.55,115.61,0.5,92.18,-39.57,348.46,17.4,3.795,0.273,3.266,0.231,894.25,26.92,6030.65,19132.31,5.63,0.22,28038.99,85.89,7154.11,79.77,-112.24,505260.41,6106424.24,1353.55,0.19,25.69,229.66,8.11,0.31,0.05,680,150.69,169.87,proton
4,147407220,1,0,1,45.43,0.3,44.25,0.58,177.69,-48.31,45.76,0.06,3.64,0.263,3.139,0.223,668.53,12.46,6394.55,12220.46,5.7,0.1,-33567.29,57.6,462.3,30.12,79.99,443708.81,6099580.89,1567.76,0.08,87.0,218.84,8.81,0.24,0.05,943,11.94,1137.09,iron
2,925227180,0,0,1,45.38,0.44,105.99,0.67,157.36,-48.01,35.36,8.75,0.942,0.066,0.793,0.054,741.23,16.2,5614.12,11391.98,1.41,0.04,12240.34,36.61,-8602.11,60.23,-41.24,489511.44,6090636.68,1375.27,0.09,50.0,223.52,9.01,0.25,0.05,541,113.31,639.1,iron
4,163499875,0,0,1,24.08,0.49,7.34,0.87,234.02,-84.72,18.48,-28.92,0.956,0.069,0.807,0.057,744.62,13.04,3508.19,8934.15,1.39,0.03,-29321.47,25.45,6870.09,32.57,46.2,447935.26,6105995.69,1515.42,0.07,54.13,229.79,8.73,0.25,0.04,622,428.79,429.93,iron
1,898272468,0,0,1,51.03,0.38,295.84,0.91,282.12,-38.63,64.12,-69.16,1.84,0.142,1.572,0.12,730.52,24.25,6444.91,13998.96,2.7,0.09,-17457.5,125.18,-9113.74,67.11,-9.16,459834.11,6090048.87,1423.63,0.07,98.48,231.39,10.78,0.25,0.05,184,925.9,926.96,iron
4,626900350,0,0,1,60.83,0.41,218.23,1.37,346.36,-11.17,270.11,-46.26,1.139,0.084,0.959,0.069,759.28,28.37,7959.18,16670.02,1.62,0.06,-22789.75,141.9,6757.49,145.9,45.28,454463.22,6105899.04,1490.1,0.07,32.5,234.31,9.57,0.25,0.05,655,50.81,238.39,proton
2,574412107,0,0,1,35.15,0.51,185.29,0.93,13.95,-40.32,315.56,-31.05,0.655,0.046,0.547,0.036,650.21,12.58,5401.39,11830.57,0.97,0.03,13382.85,69.69,-5472.88,40.18,-41.0,490645.05,6093767.86,1375.41,0.17,25.91,223.06,8.49,0.27,0.04,747,588.4,648.44,iron
2,116213668,1,0,1,37.62,0.43,56.85,0.4,182.14,-48.46,47.62,-2.24,3.545,0.239,3.06,0.202,736.03,11.19,4706.91,13454.39,5.27,0.11,13973.4,35.73,4600.29,35.3,-41.79,491209.1,6103835.05,1373.24,0.09,42.14,230.15,6.36,0.29,0.04,1009,671.51,774.66,iron
1,879384778,1,0,1,43.41,0.65,349.96,0.99,260.44,-84.32,17.34,-31.24,25.028,2.194,21.868,1.922,854.06,20.32,4339.1,26355.37,35.93,0.99,4237.51,82.21,-19414.52,86.86,-49.95,481539.48,6079811.94,1379.96,0.13,34.85,241.82,8.65,0.22,0.04,278,342.94,348.75,proton
2,395739475,1,0,1,37.83,0.3,193.08,0.37,5.84,-27.08,298.39,-34.64,13.542,0.976,11.791,0.847,773.9,8.94,4455.72,14306.87,19.23,0.31,19799.94,37.75,9182.26,26.61,-72.91,497022.5,6108430.37,1362.93,0.08,55.67,243.8,6.17,0.2,0.04,1007,474.55,626.45,iron
2,639576588,1,1,1,31.7,0.4,178.06,1.9,23.17,-65.13,344.72,-28.5,3.842,0.304,3.321,0.259,745.36,12.68,4156.99,19291.54,5.81,0.2,4325.45,66.44,-6247.87,69.99,-18.66,481595.38,6092970.54,1385.57,0.12,38.29,226.55,8.24,0.29,0.04,418,195.53,255.6,iron
2,446806051,1,0,0,50.71,0.78,170.97,1.35,106.49,-77.81,9.3,-15.39,2.106,0.174,1.805,0.148,709.64,28.33,6712.39,15990.97,3.14,0.13,26634.43,204.96,9274.29,93.3,-108.43,503851.06,6108539.37,1354.25,0.04,50.56,227.93,9.23,0.26,0.04,794,26.64,192.48,iron
2,470261564,0,0,1,46.65,0.9,188.49,1.32,21.31,-59.5,338.25,-28.94,1.127,0.097,0.953,0.081,789.28,29.3,5324.69,19119.01,1.69,0.1,7292.34,116.76,-1174.44,105.91,-21.73,484547.69,6098048.36,1382.33,0.2,28.78,224.22,10.89,0.26,0.05,683,238.48,329.49,iron
2,140118278,1,0,1,39.85,0.4,142.67,0.49,186.21,-53.11,45.57,-7.15,18.751,1.367,16.36,1.192,753.04,10.82,4821.3,17524.98,26.77,0.41,18193.52,43.52,9754.55,62.66,-68.9,495415.75,6108997.05,1362.62,0.13,30.59,242.33,5.76,0.27,0.03,1005,518.47,573.41,iron
4,741578333,1,0,0,40.5,0.29,319.25,0.44,263.87,-14.71,113.68,-51.64,1.871,0.127,1.603,0.106,779.36,10.43,4626.98,8602.37,2.67,0.05,-25819.48,30.43,16029.81,15.73,90.54,451411.43,6115160.05,1560.3,0.13,29.91,238.69,9.16,0.24,0.06,669,30.76,645.59,iron
2,292400338,1,0,0,28.76,0.25,16.09,0.82,236.99,-4.47,110.12,-23.41,6.628,0.467,5.751,0.401,764.56,6.92,3654.27,10661.53,9.61,0.11,10525.49,22.05,-1846.95,27.84,-31.7,487780.7,6097384.47,1377.95,0.07,84.46,237.45,7.36,0.25,0.05,716,226.89,465.55,iron
1,986111144,1,1,1,54.6,0.73,327.58,0.42,269.11,5.53,142.73,-43.78,14.408,1.234,12.514,1.072,799.34,33.61,6450.29,32318.87,20.61,0.7,7640.44,103.77,-20578.58,147.25,-58.83,484943.83,6078657.3,1378.63,0.13,36.37,240.81,8.34,0.27,0.05,466,101.72,267.32,iron
1,817596665,0,0,1,29.06,0.63,103.63,1.25,127.2,-69.83,14.34,-7.01,0.657,0.05,0.549,0.04,789.49,14.64,3413.2,8985.38,0.98,0.03,-19755.77,29.39,-19835.92,70.91,-59.55,457562.94,6079329.85,1401.78,0.14,34.22,221.84,10.26,0.26,0.05,374,447.31,676.85,iron
2,73509618,1,0,1,36.42,0.53,179.27,0.59,25.56,-63.18,342.63,-27.29,1.206,0.081,1.023,0.066,679.53,9.21,5236.74,10045.17,1.84,0.04,15617.97,60.97,-2003.92,31.18,-44.86,492870.45,6097240.3,1374.04,0.19,26.63,220.21,7.73,0.26,0.05,720,260.84,272.15,iron
1,177888176,0,0,1,43.21,0.45,166.63,0.7,173.79,-74.85,25.1,-17.06,0.999,0.071,0.842,0.058,739.62,17.21,5329.84,11146.95,1.52,0.05,-18449.1,48.35,-18474.82,43.45,-52.82,458863.92,6080693.87,1402.25,0.12,39.69,219.37,10.12,0.26,0.05,323,7.75,530.26,iron
1,460694629,0,0,1,37.29,0.52,101.34,0.69,186.07,-39.3,56.53,1.28,0.851,0.063,0.715,0.051,690.01,18.83,5192.93,10376.04,1.26,0.04,-10495.96,37.96,-23544.9,43.45,-62.32,466826.93,6075644.64,1387.23,0.11,43.84,225.67,10.44,0.26,0.05,328,332.89,595.71,iron
2,684336066,1,0,1,27.95,0.35,139.55,0.96,148.41,-76.86,18.67,-15.16,1.393,0.098,1.187,0.081,737.97,9.87,3897.95,10112.81,2.2,0.06,14556.36,40.5,-54.48,31.82,-41.03,491804.8,6099185.37,1374.1,0.15,33.37,213.94,9.05,0.26,0.05,719,3.74,725.99,iron
1,601816593,0,0,1,41.96,0.77,32.06,1.02,223.72,2.97,110.48,-8.2,0.957,0.073,0.806,0.059,638.67,19.73,6355.21,16072.38,1.39,0.06,-7077.12,103.81,-25977.09,91.73,-74.67,470248.22,6073223.77,1380.72,0.14,25.44,230.89,8.73,0.25,0.05,302,414.44,440.49,iron
4,9960961,1,0,1,49.84,0.51,298.35,1.13,288.33,-8.83,153.1,-67.08,1.027,0.082,0.865,0.068,655.27,27.68,7210.41,11911.49,1.52,0.05,-24566.01,68.37,20029.51,93.88,72.53,452655.23,6119159.98,1550.37,0.09,43.44,226.1,10.07,0.25,0.05,684,97.3,201.48,iron
1,39235334,1,0,1,38.98,0.38,112.93,0.57,202.03,-17.8,82.11,1.2,1.38,0.096,1.174,0.079,789.5,12.59,4384.91,10012.89,2.08,0.05,-9973.21,32.03,-23253.59,33.42,-62.32,467348.46,6075938.5,1387.2,0.09,49.25,223.78,8.86,0.26,0.05,328,297.81,305.32,iron
1,573980231,1,1,1,29.49,0.25,142.26,0.67,187.17,-66.03,35.12,-15.04,5.097,0.369,4.415,0.315,756.33,8.68,3758.85,6910.9,7.48,0.1,-13500.01,20.37,-22687.12,20.46,-63.63,463822.01,6076496.36,1391.35,0.1,60.84,233.91,9.6,0.27,0.06,419,334.98,336.54,iron
1,697050112,1,0,1,25.31,0.22,286.49,1.22,272.62,-46.93,54.98,-59.07,1.57,0.117,1.343,0.098,757.54,12.82,3519.3,9924.65,2.33,0.06,-19299.53,29.61,-16689.64,21.71,-43.16,458011.14,6082474.94,1409.16,0.07,85.8,228.52,9.73,0.26,0.05,320,597.42,666.1,iron
2,755001663,1,0,1,30.95,0.64,131.64,1.35,202.39,-41.62,61.22,-10.43,6.349,0.524,5.505,0.452,782.8,15.06,3588.04,18806.98,9.49,0.32,4633.05,52.3,-317.63,60.3,-15.54,481887.76,6098897.8,1385.9,0.11,41.86,230.13,8.97,0.26,0.04,1018,629.78,748.27,proton
1,585470276,0,0,1,28.22,0.53,66.85,1.07,222.9,-0.45,107.04,-9.07,0.655,0.061,0.547,0.05,566.48,28.12,5905.43,9235.28,0.97,0.05,-11254.65,41.68,-27568.8,29.88,-88.44,466079.15,6071624.81,1384.55,0.14,47.12,224.57,9.49,0.26,0.05,443,514.69,643.31,iron
1,201101645,0,0,1,46.49,0.48,302.48,0.72,292.51,-2.98,168.63,-63.87,0.869,0.061,0.73,0.049,723.36,16.27,5919.31,12553.87,1.28,0.04,-9041.55,47.18,-24472.92,62.15,-68.91,468282.2,6074723.13,1384.26,0.1,34.62,225.78,8.79,0.26,0.05,339,248.44,360.68,iron
1,703028385,1,0,1,46.06,0.78,331.26,0.68,249.63,-28.29,88.42,-43.19,1.579,0.113,1.346,0.095,701.44,22.09,6080.94,15987.08,2.27,0.08,-7530.61,76.9,-21419.28,94.24,-56.23,469785.85,6077777.82,1385.57,0.11,32.73,234.71,9.09,0.27,0.05,311,1.61,432.42,iron
4,36958016,1,0,1,47.93,0.37,341.11,0.69,266.94,14.55,148.45,-35.62,1.201,0.082,1.017,0.067,786.75,13.18,5466.64,10839.79,1.78,0.05,-30030.64,30.87,8210.25,56.21,53.96,447222.2,6107333.96,1528.13,0.16,23.19,226.89,7.33,0.2,0.05,623,308.89,326.2,proton
1,471589719,1,0,1,35.11,0.51,98.59,0.43,212.58,-2.06,100.87,-0.62,19.075,1.453,16.653,1.268,807.69,4.39,3730.16,9383.82,26.79,0.32,-18733.01,14.28,-19869.87,71.24,-59.55,458584.85,6079300.53,1401.77,0.16,27.83,246.58,7.61,0.26,0.05,374,494.75,603.69,iron
4,340607740,1,0,1,43.81,0.48,349.64,0.44,252.04,5.15,128.22,-31.21,4.282,0.306,3.698,0.26,769.31,13.14,5078.03,16482.99,6.62,0.15,-35652.12,62.22,-507.34,32.17,68.57,441624.18,6098607.59,1564.06,0.07,55.97,221.25,7.16,0.29,0.05,1058,570.01,580.26,iron
1,749133805,0,0,1,20.24,0.43,102.85,1.43,230.28,-0.45,110.56,-15.6,0.945,0.07,0.798,0.057,721.23,12.85,3523.11,9371.51,1.42,0.04,-18216.69,23.71,-18938.66,47.03,-52.82,459098.74,6080230.87,1402.23,0.1,41.7,223.29,9.82,0.26,0.05,323,224.22,235.93,iron
2,367237974,0,0,1,32.97,0.53,185.42,1.64,233.76,-36.9,74.43,-31.79,0.769,0.056,0.644,0.045,653.29,16.47,5166.32,14674.11,1.13,0.04,10001.45,76.22,-6063.98,64.1,-32.64,487267.11,6093168.61,1378.27,0.12,34.01,225.36,8.85,0.25,0.04,571,35.73,92.19,iron
1,323625402,1,0,1,27.27,0.44,30.36,1.43,232.75,-3.17,109.25,-19.06,1.364,0.099,1.162,0.083,742.75,12.86,3782.34,11787.65,2.05,0.06,-10799.45,46.22,-19997.76,46.24,-50.19,466514.31,6079190.9,1390.54,0.11,38.18,224.47,9.3,0.27,0.05,306,668.88,680.6,iron
4,529640895,1,0,1,33.06,0.47,337.62,0.81,285.16,19.09,170.51,-40.68,1.011,0.074,0.854,0.06,699.26,13.27,4775.55,13008.32,1.51,0.05,-21253.59,57.53,16828.07,40.83,65.28,455975.2,6115967.41,1524.75,0.1,33.72,225.16,8.46,0.26,0.04,847,540.85,548.03,iron
1,673571343,1,1,1,29.01,0.25,184.23,1.15,247.2,-4.59,115.5,-32.41,5.429,0.409,4.705,0.351,654.17,10.74,5004.72,17586.3,8.33,0.22,-879.79,33.16,-19170.95,54.24,-44.7,476425.96,6080042.28,1383.91,0.07,92.09,224.12,9.23,0.26,0.05,266,91.33,408.4,iron
4,82848557,0,0,1,64.49,0.37,319.95,1.78,306.5,16.45,197.82,-46.28,1.806,0.131,1.534,0.109,743.43,25.76,9338.93,20255.23,2.48,0.09,-25663.69,212.71,25117.12,146.88,22.11,451547.46,6124239.58,1524.24,0.11,23.22,244.78,7.92,0.29,0.05,917,79.96,105.21,proton
4,772218945,1,0,1,39.58,0.55,54.53,0.88,216.16,4.06,107.95,-1.01,1.136,0.082,0.962,0.067,666.17,13.77,5799.65,14030.36,1.7,0.07,-25476.35,70.87,22578.04,78.28,52.88,451740.29,6121704.74,1545.29,0.15,21.99,224.57,9.26,0.26,0.05,1025,283.1,330.69,iron
1,401124908,0,0,1,65.05,0.51,175.87,1.3,209.9,-30.51,74.07,-11.01,3.255,0.257,2.788,0.217,728.82,32.34,9473.04,18800.82,4.76,0.13,6022.71,388.49,-13038.23,414.66,-36.33,483309.78,6086188.55,1379.29,0.04,86.33,232.27,10.55,0.26,0.05,538,146.63,488.57,iron
1,811692293,1,0,1,34.14,0.39,126.83,0.59,229.0,15.61,124.17,-6.57,1.564,0.108,1.335,0.09,778.29,11.49,3997.38,9063.79,2.22,0.04,-9458.04,25.16,-24525.5,28.82,-68.91,467866.75,6074668.61,1384.25,0.08,64.94,238.51,9.36,0.25,0.05,339,236.96,268.74,proton
2,517508260,0,0,1,23.71,0.47,186.27,1.26,238.02,-33.09,79.74,-34.41,0.828,0.064,0.697,0.052,765.82,15.62,3286.45,9779.67,1.2,0.04,13327.07,56.49,-7474.42,30.26,-46.99,490593.9,6091767.36,1372.39,0.11,37.08,230.91,10.04,0.24,0.05,766,98.26,498.57,proton
1,53442829,1,0,1,34.88,0.53,122.2,0.54,221.64,6.63,112.76,-4.66,1.385,0.103,1.179,0.086,805.54,15.21,3757.85,11772.15,2.02,0.06,-10949.28,37.4,-19033.81,37.31,-46.02,466362.09,6080153.83,1391.81,0.09,45.95,231.62,9.49,0.26,0.05,308,3.13,15.2,proton
1,101999044,0,0,1,38.53,0.59,28.12,1.15,268.62,43.82,168.25,-12.4,0.684,0.051,0.571,0.041,724.87,17.97,4959.55,15004.58,0.97,0.04,-7026.22,85.36,-23426.59,56.77,-62.43,470292.76,6075773.06,1383.03,0.17,27.58,233.12,8.54,0.25,0.05,319,508.99,510.34,iron
